Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",155.08,-0.76999999999998,-0.49%,156.74,154.28,46427462,"12:56 ET"
ABNB,"Airbnb Inc Cl A",116.94,-3.05,-2.54%,119.96,116.55,2226557,"12:56 ET"
ADBE,"Adobe Systems Inc",355.48,2.19,+0.62%,360.63,350.835,2409066,"12:56 ET"
ADI,"Analog Devices",185.55,-1.08,-0.58%,188.8,184.465,2051643,"12:56 ET"
ADP,"Automatic Data Procs",214.67,-1.13,-0.52%,217.03,214.08,1290788,"12:56 ET"
ADSK,"Autodesk Inc",198.39,-2.2,-1.10%,202.71,196.9,681065,"12:56 ET"
AEP,"American Electric Power Company",90.8,-1.21,-1.32%,91.86,90.26,3066422,"12:56 ET"
ALGN,"Align Technology",319.88,-6.52,-2.00%,326.485,319.03,647637,"12:56 ET"
AMAT,"Applied Materials",122.88,0.049999999999997,+0.04%,124.39,121.6201,3893447,"12:56 ET"
AMD,"Adv Micro Devices",96.51,-0.089999999999989,-0.09%,98.75,95.9364,55012756,"12:56 ET"
AMGN,"Amgen Inc",229.37,-5.2,-2.22%,233.81,229.26,2311558,"12:56 ET"
AMZN,"Amazon.com Inc",98.53,-1.51,-1.51%,100.66,97.455,39629114,"12:56 ET"
ANSS,"Ansys Inc",313.06,-1.02,-0.32%,316.48,310.49,313807,"12:55 ET"
ASML,"Asml Holdings NY Reg ADR",634.55,3.99,+0.63%,638.4,626.81,473957,"12:56 ET"
ATVI,"Activision Blizzard",79.01,-0.86,-1.08%,80.28,78.86,3308439,"12:56 ET"
AVGO,"Broadcom Ltd",630.31,-6.1900000000001,-0.97%,639.5699,627.08,1255984,"12:56 ET"
AZN,"Astrazeneca Plc ADR",65.64,-0.34,-0.52%,65.84,65.33,2538074,"12:56 ET"
BIIB,"Biogen Inc",262.86,-2.39,-0.90%,265.21,261.22,402516,"12:53 ET"
BKNG,"Booking Holdings Inc",2404.43,-35.48,-1.45%,2442.24,2392.8101,188552,"12:56 ET"
BKR,"Baker Hughes Company",26.86,-0.44,-1.61%,27.035,26.33,4321427,"12:56 ET"
CDNS,"Cadence Design Sys",207.2,-0.62,-0.30%,209.5,205.43,1215766,"12:55 ET"
CEG,"Constellation Energy Corp",76.43,-2,-2.55%,78.46,75.985,1222630,"12:55 ET"
CHTR,"Charter Communications Inc",346.06,-0.38999999999999,-0.11%,350.49,338.96,656660,"12:56 ET"
CMCSA,"Comcast Corp A",35.89,-0.35,-0.97%,36.21,35.63,10272274,"12:56 ET"
COST,"Costco Wholesale",485.18,-2.08,-0.43%,489.9,483.175,1138232,"12:56 ET"
CPRT,"Copart Inc",69.35,-0.66000000000001,-0.94%,69.98,68.98,1224576,"12:56 ET"
CRWD,"Crowdstrike Holdings Inc",132.32,-1.2,-0.90%,136.47,131.86,2862676,"12:56 ET"
CSCO,"Cisco Systems Inc",50.05,-0.07,-0.14%,50.55,49.77,13875611,"12:56 ET"
CSGP,"Costar Group Inc",66.64,-1.11,-1.64%,67.92,66.4,1199494,"12:56 ET"
CSX,"CSX Corp",28.83,-0.5,-1.70%,29.33,28.745,7084507,"12:56 ET"
CTAS,"Cintas Corp",432.58,-3.03,-0.70%,439.69,429.13,229055,"12:55 ET"
CTSH,"Cognizant Tech Sol",58.28,-0.12,-0.21%,58.67,57.76,2727668,"12:56 ET"
DDOG,"Datadog Inc Cl A",68.45,-0.75999999999999,-1.10%,69.96,67.85,1895005,"12:56 ET"
DLTR,"Dollar Tree Inc",135.96,-3.05,-2.19%,139.27,135.775,820297,"12:56 ET"
DXCM,"Dexcom Inc",113.19,-1.37,-1.20%,115.45,113.06,1079185,"12:56 ET"
EA,"Electronic Arts Inc",113.43,-0.099999999999994,-0.09%,114.01,113.015,975562,"12:55 ET"
EBAY,"Ebay Inc",42.06,0.61,+1.47%,41.955,40.94,2933451,"12:56 ET"
ENPH,"Enphase Energy Inc",183.29,-17.81,-8.86%,200.7,181.55,4133059,"12:56 ET"
EXC,"Exelon Corp",41.7,-0.45,-1.07%,42.15,41.345,5287601,"12:56 ET"
FANG,"Diamondback Energy",123.02,-2.51,-2.00%,125.995,121.72,1307793,"12:56 ET"
FAST,"Fastenal Company",51.93,-0.45,-0.86%,52.42,51.56,2137298,"12:56 ET"
FISV,"Fiserv Inc",108.71,-0.78,-0.71%,110.0879,107.9,2267564,"12:56 ET"
FTNT,"Fortinet Inc",60.93,-0.95,-1.54%,62.47,60.81,2323042,"12:56 ET"
GFS,"Globalfoundries Inc",66.51,-0.25999999999999,-0.39%,67.6999,65.44,1071334,"12:56 ET"
GILD,"Gilead Sciences Inc",77.12,-2.73,-3.42%,79.76,77.2,4594749,"12:56 ET"
GOOG,"Alphabet Cl C",102.16,1.09,+1.08%,103.49,100.75,29435559,"12:56 ET"
GOOGL,"Alphabet Cl A",101.45,1.13,+1.13%,102.835,100.1,30899038,"12:56 ET"
HON,"Honeywell International Inc",185.78,-3.36,-1.78%,188.005,185.2834,2490384,"12:56 ET"
IDXX,"Idexx Laboratories",470.09,-4.02,-0.85%,477.52,467,181310,"12:55 ET"
ILMN,"Illumina Inc",223.4,-1.55,-0.69%,224.62,220.045,519099,"12:56 ET"
INTC,"Intel Corp",29.67,-0.51,-1.69%,31,29.44,26951889,"12:56 ET"
INTU,"Intuit Inc",411.37,-6.78,-1.62%,418.15,408.52,950428,"12:56 ET"
ISRG,"Intuitive Surg Inc",236.6,-3.9,-1.62%,242,236.26,797154,"12:56 ET"
JD,"Jd.com Inc ADR",38.77,-1.02,-2.56%,39.67,38.6,5519109,"12:56 ET"
KDP,"Keurig Dr Pepper Inc",34.99,-0.11,-0.31%,35.28,34.9,3919043,"12:56 ET"
KHC,"Kraft Heinz Company",37.59,-0.59,-1.55%,38.1,37.525,3475050,"12:56 ET"
KLAC,"K L A-Tencor Corp",387.28,-2.62,-0.67%,391.72,382.77,516678,"12:56 ET"
LCID,"Lucid Group Inc",7.46,-0.37,-4.73%,7.8392,7.37,8821531,"12:56 ET"
LRCX,"Lam Research Corp",509.39,-5.8000000000001,-1.13%,519.9,503.805,549784,"12:56 ET"
LULU,"Lululemon Athletica",292.87,-4.53,-1.52%,297.32,289.94,1118788,"12:56 ET"
MAR,"Marriot Int Cl A",157.56,-3.57,-2.22%,160.38,157.73,899164,"12:55 ET"
MCHP,"Microchip Technology",80.59,-1.66,-2.02%,82.235,79.895,2795097,"12:56 ET"
MDLZ,"Mondelez Intl Inc",66.27,-0.67,-1.00%,66.91,65.83,4779837,"12:56 ET"
MELI,"Mercadolibre Inc",1191.02,-23.72,-1.95%,1208,1180.78,193984,"12:56 ET"
META,"Meta Platforms Inc",198.38,-6.55,-3.20%,201.9,197.91,18855153,"12:56 ET"
MNST,"Monster Beverage Cp",103.46,0.059999999999988,+0.06%,104.08,102.97,1684428,"12:56 ET"
MRNA,"Moderna Inc",151.35,-0.43000000000001,-0.28%,154.4799,149.1,1838732,"12:56 ET"
MRVL,"Marvell Technology Inc",39.87,-0.49,-1.21%,40.41,39.5,6495885,"12:56 ET"
MSFT,"Microsoft Corp",278.07,1.87,+0.68%,283.33,276.3201,36236339,"12:56 ET"
MU,"Micron Technology",56.64,0.07,+0.12%,57.72,56.215,10722620,"12:56 ET"
NFLX,"Netflix Inc",302.6,-7.46,-2.41%,310.76,301.11,3225688,"12:56 ET"
NVDA,"Nvidia Corp",257.75,2.34,+0.92%,263.99,256.68,44328684,"12:56 ET"
NXPI,"Nxp Semiconductors",177.02,-2.47,-1.38%,180.2,176.195,864690,"12:56 ET"
ODFL,"Old Dominion Freight Line Inc",332.53,-4.98,-1.48%,339.39,330.05,362231,"12:55 ET"
ORLY,"O'Reilly Automotive",804.96,-14.56,-1.78%,817.27,804,260760,"12:56 ET"
PANW,"Palo Alto Networks Inc",188.84,-0.93000000000001,-0.49%,191.46,188.44,1430939,"12:56 ET"
PAYX,"Paychex Inc",108.16,-0.51000000000001,-0.47%,109.31,107.72,909185,"12:56 ET"
PCAR,"Paccar Inc",68.51,-2.34,-3.30%,70.35,68.22,1781721,"12:56 ET"
PDD,"Pdd Holdings Inc",91.36,-3.16,-3.34%,95.14,89.98,5747281,"12:56 ET"
PEP,"Pepsico Inc",175.32,-1.19,-0.67%,176.69,174.23,3157710,"12:56 ET"
PYPL,"Paypal Holdings",73.09,-1.26,-1.69%,75.065,73.105,5609797,"12:56 ET"
QCOM,"Qualcomm Inc",119.93,-0.58,-0.48%,122.87,119.15,3738439,"12:56 ET"
REGN,"Regeneron Pharmaceuticals",746.14,-3.61,-0.48%,754.32,744.02,331425,"12:55 ET"
RIVN,"Rivian Automotive Inc Cl A",13.06,-0.4,-2.97%,13.32,12.8,14520946,"12:56 ET"
ROST,"Ross Stores Inc",101.71,-1.53,-1.48%,102.58,101.06,898451,"12:56 ET"
SBUX,"Starbucks Corp",98.4,-2.03,-2.02%,99.29,98.03,3624821,"12:56 ET"
SGEN,"Seagen Inc",199.98,-0.5,-0.25%,200.64,199.65,502579,"12:56 ET"
SIRI,"Sirius XM Holdings",3.62,0.01,+0.28%,3.66,3.6,9347382,"12:55 ET"
SNPS,"Synopsys Inc",373.19,-0.81,-0.22%,378.3,372.02,543774,"12:56 ET"
TEAM,"Atlassian Corp",154.5,-2.85,-1.81%,158.86,153.04,914449,"12:56 ET"
TMUS,"T-Mobile US",142.52,1.01,+0.71%,142.87,140.49,3240877,"12:56 ET"
TSLA,"Tesla Inc",178.65,-5.48,-2.98%,186.2199,177.33,79491324,"12:56 ET"
TXN,"Texas Instruments",175.81,-1.32,-0.75%,179.09,175.05,2919369,"12:56 ET"
VRSK,"Verisk Analytics Inc",180.66,-0.21000000000001,-0.12%,183.91,179.8,735646,"12:54 ET"
VRTX,"Vertex Pharmaceutic",295.81,-4.83,-1.61%,301.23,294.58,622431,"12:55 ET"
WBA,"Walgreens Boots Alliance",32.71,-0.7,-2.10%,33.34,32.53,3919788,"12:56 ET"
WBD,"Discovery Inc Series A",14.31,0.15,+1.06%,14.885,14.195,10387917,"12:56 ET"
WDAY,"Workday Inc",189.43,-2.29,-1.19%,192.7,189.08,887667,"12:56 ET"
XEL,"XCEL Energy Inc",66.75,-0.48999999999999,-0.73%,67.005,65.75,2733186,"12:56 ET"
ZM,"Zoom Video Communications Cl A",69.15,-1.44,-2.04%,70.6,68.57,1353335,"12:56 ET"
ZS,"Zscaler Inc",104.4,-3.73,-3.45%,108.28,104.69,1179925,"12:55 ET"
"Downloaded from Barchart.com as of 03-17-2023 11:56am CDT"
